class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,0.04255466,0.110679105,0.11056835
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,-0.048536994,-1.3313545,0.48261088,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
-0.048536994,-1.3313545,0.48261088,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
,,,,,,,,,-0.048536994,-1.3313545,0.48261088
